name,priority,id,=id_hex,msp_cat,gnd_class,=calculated_id,=calculated_id_hex,data_length,senders,description,added to dbc
eps_dist_autosequencer_get_met_rsp,18,729,0x2D9,cat_none,gnd_realtime,303039193,0x121002D9,4,eps_dist,the MET of the item,yes
estim_mag_unit_x,18,693,0x2B5,cat_adcs,gnd_none,302449333,0x120702B5,8,adcs_estim,Unit vector of direction of magnetic field z,yes
estim_mag_unit_y,18,694,0x2B6,cat_adcs,gnd_none,302449334,0x120702B6,8,adcs_estim,Unit vector of direction of magnetic field y,yes
estim_mag_unit_z,18,695,0x2B7,cat_adcs,gnd_none,302449335,0x120702B7,8,adcs_estim,Unit vector of direction of magnetic field x,yes
estim_state,18,696,0x2B8,cat_adcs,gnd_none,302449336,0x120702B8,1,adcs_estim,Are we in the sun/overhead?,yes
estim_sun_unit_x,18,692,0x2B4,cat_adcs,gnd_none,302449332,0x120702B4,8,adcs_estim,Unit vector of where the sun is at z,yes
estim_sun_unit_y,18,691,0x2B3,cat_adcs,gnd_none,302449331,0x120702B3,8,adcs_estim,Unit vector of where the sun is at y,yes
estim_sun_unit_z,18,690,0x2B2,cat_adcs,gnd_none,302449330,0x120702B2,8,adcs_estim,Unit vector of where the sun is at x,yes
gcmd_autosequencer_add_1,18,722,0x2D2,cat_cmd,gnd_none,302252754,0x120402D2,8,com_1,properties of autosequencer entry,yes
gcmd_autosequencer_add_2,18,723,0x2D3,cat_cmd,gnd_none,302252755,0x120402D3,8,com_1,data of CAN packet to be added to autosequencer,yes
gcmd_autosequencer_get_indices,18,726,0x2D6,cat_cmd,gnd_none,302252758,0x120402D6,4,com_1,get indices of the specified packet in the autosequencer,yes
gcmd_autosequencer_get_met,18,727,0x2D7,cat_cmd,gnd_none,302252759,0x120402D7,1,com_1,get MET of the item at the specified index of the autosequencer,yes
gcmd_autosequencer_remove_can_id,18,725,0x2D5,cat_cmd,gnd_none,302252757,0x120402D5,4,com_1,remove all occurrences of the specified CAN Id in the autosequencer,yes
gcmd_autosequencer_rm_at_index,18,724,0x2D4,cat_cmd,gnd_none,302252756,0x120402D4,1,com_1,remove the autosequencer entry at the specified index,yes
gcmd_batt_set_heater_check,18,730,0x2DA,cat_none,gnd_none,301990618,0x120002DA,1,com_1,enables/disables battery heater automation,
gcmd_bdot_control,18,714,0x2CA,cat_cmd,gnd_none,302252746,0x120402CA,1,com_1,"Chooses mode that bdot is in: 0 = NORMAL_MODE , 1 = SLEEP_MODE",
gcmd_bdot_mag_control,18,713,0x2C9,cat_cmd,gnd_none,302252745,0x120402C9,1,com_1,"Choose the best fit magnetometer from ground. 0 = Auto, 1 = MAG_BDOT, 2 = MAG_SP1, 3 = MAG_SP2",
gcmd_bdot_max_tumble,18,716,0x2CC,cat_cmd,gnd_none,302252748,0x120402CC,2,com_1,"Chooses the maximum time bdot is tumbling continuously. If bdot tumbles for longer than this time, will automatically go into sleep mode. Units: Minutes",
gcmd_bdot_pole_override,18,712,0x2C8,cat_cmd,gnd_none,302252744,0x120402C8,1,com_1,Flips the dipole signs on axis before sending command to mtq,
gcmd_bdot_spam,18,715,0x2CB,cat_cmd,gnd_none,302252747,0x120402CB,4,com_1,Spam Control message,
gcmd_dist_reset_mission,18,735,0x2DF,cat_cmd,gnd_none,302252767,0x120402DF,0,com_1,"Resets MET and autosequencer, also sets the autosequencer to be reinitialized on next powerup",
gcmd_dist_self_restart,18,734,0x2DE,cat_cmd,gnd_none,302252766,0x120402DE,0,com_1,Causes dist to self-restart,
gcmd_dist_set_pd_ovc_bdot,18,705,0x2C1,cat_cmd,gnd_none,302252737,0x120402C1,4,com_1,Command to set Over Current Threshold of bdot,yes
gcmd_dist_set_pd_ovc_com1,18,702,0x2BE,cat_cmd,gnd_none,302252734,0x120402BE,4,com_1,Command to set Over Current Threshold of COM1,yes
gcmd_dist_set_pd_ovc_com2,18,703,0x2BF,cat_cmd,gnd_none,302252735,0x120402BF,4,com_1,Command to set Over Current Threshold of COM2,yes
gcmd_dist_set_pd_ovc_eps,18,708,0x2C4,cat_cmd,gnd_none,302252740,0x120402C4,4,com_1,Command to set Over Current Threshold of eps,yes
gcmd_dist_set_pd_ovc_estim,18,706,0x2C2,cat_cmd,gnd_none,302252738,0x120402C2,4,com_1,Command to set Over Current Threshold of estim,yes
gcmd_dist_set_pd_ovc_ppt,18,709,0x2C5,cat_cmd,gnd_none,302252741,0x120402C5,4,com_1,Command to set Over Current Threshold of ppt,yes
gcmd_dist_set_pd_ovc_rahs,18,704,0x2C0,cat_cmd,gnd_none,302252736,0x120402C0,4,com_1,Command to set Over Current Threshold of rahs,yes
gcmd_dist_set_pd_ovc_wheels,18,707,0x2C3,cat_cmd,gnd_none,302252739,0x120402C3,4,com_1,Command to set Over Current Threshold of wheels,yes
gcmd_dist_set_pd_state,18,701,0x2BD,cat_cmd,gnd_none,302252733,0x120402BD,2,com_1,Enables or disables the power switch,yes
gcmd_eps_batt_fulldef,18,719,0x2CF,cat_cmd,gnd_none,302252751,0x120402CF,8,com_1,battery definition of full,yes
gcmd_gen_set_pt_state,18,710,0x2C6,cat_cmd,gnd_none,302252742,0x120402C6,1,com_1,Set power tracker states,yes
gcmd_mtq_pms,18,717,0x2CD,cat_cmd,gnd_none,302252749,0x120402CD,4,com_1,Command to flip polarity of MTQ dipoles,yes
gcmd_mtq_pop,18,700,0x2BC,cat_cmd,gnd_none,302252732,0x120402BC,1,com_1,Command to flip polarity of MTQ dipoles,yes
gcmd_mtq_pwm_time,18,720,0x2D0,cat_cmd,gnd_none,302252752,0x120402D0,2,com_1,mtq pwm time,
gcmd_ppt_halt,17,260,0x104,cat_cmd,gnd_none,285475076,0x11040104,1,,Immediately halt PPT,
gcmd_ppt_multiple_fire,18,721,0x2D1,cat_cmd,gnd_none,302252753,0x120402D1,2,com_1,Ground commands for firing the ppt multiple times,
gcmd_reset_minmax,18,718,0x2CE,cat_cmd,gnd_none,302252750,0x120402CE,0,com_1,reset min and max,yes
gcmd_sp_set_thresh,18,711,0x2C7,cat_cmd,gnd_none,302252743,0x120402C7,1,com_1,Any magnetometer reading outside of +/- the set threshold will be discarded as invalid,yes
grnd_epoch,18,697,0x2B9,cat_adcs,gnd_none,302449337,0x120702B9,5,,Epoch from ground (delta between millenium & launch),
mpc_vp,18,34,0x022,cat_adcs,gnd_wod,305594402,0x12370022,1,,Is the ship velocity pointing,yes
mtq_ack,18,48,0x030,cat_adcs,gnd_realtime,303497264,0x12170030,1,adcs_mtq,MTQ Acknowledge,yes
ppt_firing_result,18,240,0x0F0,cat_health,gnd_realtime,303628528,0x121900F0,8,,Result of the last PPT fire,
rc_adcs_bdot_1,18,518,0x206,cat_health,gnd_health,304677382,0x12290206,7,adcs_bdot,BDOT RollCall,yes
rc_adcs_bdot_10,18,733,0x2DD,cat_health,gnd_health,304677597,0x122902DD,6,adcs_bdot,BDOT RollCall,
rc_adcs_bdot_2,18,519,0x207,cat_health,gnd_health,304677383,0x12290207,8,adcs_bdot,BDOT RollCall,yes
rc_adcs_bdot_3,18,537,0x219,cat_health,gnd_health,304677401,0x12290219,8,adcs_bdot,BDOT RollCall,yes
rc_adcs_bdot_4,18,538,0x21A,cat_health,gnd_health,304677402,0x1229021A,3,adcs_bdot,BDOT RollCall,yes
rc_adcs_bdot_5,18,604,0x25C,cat_health,gnd_health,304677468,0x1229025C,8,adcs_bdot,BDOT Rollcall,
rc_adcs_bdot_5,18,623,0x26F,cat_health,gnd_health,304677487,0x1229026F,8,adcs_bdot,ADCS BDOT RollCall,
rc_adcs_bdot_6,18,624,0x270,cat_health,gnd_health,304677488,0x12290270,8,adcs_bdot,ADCS BDOT RollCall,
rc_adcs_bdot_7,18,625,0x271,cat_health,gnd_health,304677489,0x12290271,8,adcs_bdot,ADCS BDOT RollCall,
rc_adcs_bdot_8,18,626,0x272,cat_health,gnd_health,304677490,0x12290272,8,adcs_bdot,ADCS BDOT RollCall,
rc_adcs_bdot_9,18,627,0x273,cat_health,gnd_health,304677491,0x12290273,4,adcs_bdot,ADCS BDOT RollCall,
rc_adcs_bdot_h1,18,612,0x264,cat_health,gnd_health,304677476,0x12290264,8,adcs_bdot,BDOT Health Rollcall 1,
rc_adcs_bdot_h2,18,621,0x26D,cat_health,gnd_health,304677485,0x1229026D,1,adcs_bdot,BDOT Health Rollcall 2,
rc_adcs_estim_1,18,556,0x22C,cat_health,gnd_realtime,303628844,0x1219022C,8,adcs_estim,Estim Rollcall,yes
rc_adcs_estim_10,18,597,0x255,cat_health,gnd_realtime,303628885,0x12190255,8,adcs_estim,ESTim Rollcall,
rc_adcs_estim_11,18,598,0x256,cat_health,gnd_realtime,303628886,0x12190256,8,adcs_estim,ESTim Rollcall,
rc_adcs_estim_12,18,599,0x257,cat_health,gnd_realtime,303628887,0x12190257,8,adcs_estim,ESTim Rollcall,
rc_adcs_estim_13,18,600,0x258,cat_health,gnd_realtime,303628888,0x12190258,8,adcs_estim,ESTim Rollcall,
rc_adcs_estim_14,18,601,0x259,cat_health,gnd_realtime,303628889,0x12190259,8,adcs_estim,ESTim Rollcall,
rc_adcs_estim_2,18,557,0x22D,cat_health,gnd_realtime,303628845,0x1219022D,8,adcs_estim,Estim Rollcall,yes
rc_adcs_estim_3,18,558,0x22E,cat_health,gnd_realtime,303628846,0x1219022E,8,adcs_estim,Estim Rollcall,yes
rc_adcs_estim_4,18,559,0x22F,cat_health,gnd_realtime,303628847,0x1219022F,8,adcs_estim,Estim Rollcall,yes
rc_adcs_estim_5,18,560,0x230,cat_health,gnd_realtime,303628848,0x12190230,8,adcs_estim,Estim Rollcall,yes
rc_adcs_estim_6,18,561,0x231,cat_health,gnd_realtime,303628849,0x12190231,8,adcs_estim,Estim Rollcall,yes
rc_adcs_estim_7,18,562,0x232,cat_health,gnd_realtime,303628850,0x12190232,8,adcs_estim,Estim Rollcall,yes
rc_adcs_estim_8,18,563,0x233,cat_health,gnd_realtime,303628851,0x12190233,7,adcs_estim,Estim Rollcall,yes
rc_adcs_estim_9,18,596,0x254,cat_health,gnd_realtime,303628884,0x12190254,8,adcs_estim,ESTim Rollcall,
rc_adcs_estim_h1,18,609,0x261,cat_health,gnd_realtime,303628897,0x12190261,8,adcs_estim,ESTIM Health Rollcall 1,
rc_adcs_estim_h2,18,618,0x26A,cat_health,gnd_realtime,303628906,0x1219026A,1,adcs_estim,ESTIM Health Rollcall 2,
rc_adcs_mpc_1,18,564,0x234,cat_health,gnd_realtime,303628852,0x12190234,8,adcs_mpc,MPC Rollcall,yes
rc_adcs_mpc_10,18,573,0x23D,cat_health,gnd_realtime,303628861,0x1219023D,8,adcs_mpc,MPC Rollcall,yes
rc_adcs_mpc_11,18,574,0x23E,cat_health,gnd_realtime,303628862,0x1219023E,8,adcs_mpc,MPC Rollcall,yes
rc_adcs_mpc_12,18,575,0x23F,cat_health,gnd_realtime,303628863,0x1219023F,8,adcs_mpc,MPC Rollcall,yes
rc_adcs_mpc_13,18,576,0x240,cat_health,gnd_realtime,303628864,0x12190240,8,adcs_mpc,MPC Rollcall,yes
rc_adcs_mpc_14,18,577,0x241,cat_health,gnd_realtime,303628865,0x12190241,8,adcs_mpc,MPC Rollcall,yes
rc_adcs_mpc_15,18,578,0x242,cat_health,gnd_realtime,303628866,0x12190242,2,adcs_mpc,MPC Rollcall,yes
rc_adcs_mpc_2,18,565,0x235,cat_health,gnd_realtime,303628853,0x12190235,8,adcs_mpc,MPC Rollcall,yes
rc_adcs_mpc_3,18,566,0x236,cat_health,gnd_realtime,303628854,0x12190236,8,adcs_mpc,MPC Rollcall,yes
rc_adcs_mpc_4,18,567,0x237,cat_health,gnd_realtime,303628855,0x12190237,8,adcs_mpc,MPC Rollcall,yes
rc_adcs_mpc_5,18,568,0x238,cat_health,gnd_realtime,303628856,0x12190238,8,adcs_mpc,MPC Rollcall,yes
rc_adcs_mpc_6,18,569,0x239,cat_health,gnd_realtime,303628857,0x12190239,8,adcs_mpc,MPC Rollcall,yes
rc_adcs_mpc_7,18,570,0x23A,cat_health,gnd_realtime,303628858,0x1219023A,8,adcs_mpc,MPC Rollcall,yes
rc_adcs_mpc_8,18,571,0x23B,cat_health,gnd_realtime,303628859,0x1219023B,8,adcs_mpc,MPC Rollcall,yes
rc_adcs_mpc_9,18,572,0x23C,cat_health,gnd_realtime,303628860,0x1219023C,8,adcs_mpc,MPC Rollcall,yes
rc_adcs_mpc_h1,18,610,0x262,cat_health,gnd_health,304677474,0x12290262,8,adcs_mpc,MPC Health Rollcall 1,
rc_adcs_mpc_h2,18,619,0x26B,cat_health,gnd_health,304677483,0x1229026B,1,adcs_mpc,MPC Health Rollcall 2,
rc_adcs_mtq_1,18,523,0x20B,cat_health,gnd_health,304677387,0x1229020B,7,adcs_mtq,MTQ RollCall,yes
rc_adcs_mtq_2,18,524,0x20C,cat_health,gnd_health,304677388,0x1229020C,8,adcs_mtq,MTQ RollCall,yes
rc_adcs_mtq_3,18,525,0x20D,cat_health,gnd_health,304677389,0x1229020D,8,adcs_mtq,MTQ RollCall,yes
rc_adcs_mtq_4,18,526,0x20E,cat_health,gnd_health,304677390,0x1229020E,8,adcs_mtq,MTQ RollCall,yes
rc_adcs_mtq_5,18,527,0x20F,cat_health,gnd_health,304677391,0x1229020F,2,adcs_mtq,MTQ RollCall,yes
rc_adcs_mtq_h1,18,606,0x25E,cat_health,gnd_health,304677470,0x1229025E,8,adcs_mtq,MTQ Health Rollcall 1,
rc_adcs_mtq_h2,18,615,0x267,cat_health,gnd_health,304677479,0x12290267,1,adcs_mtq,MTQ Health Rollcall 2,
rc_adcs_sp_1,18,539,0x21B,cat_health,gnd_realtime,303628827,0x1219021B,8,adcs_sensorproc,Sensor Proc RollCall,yes
rc_adcs_sp_10,18,548,0x224,cat_health,gnd_realtime,303628836,0x12190224,8,adcs_sensorproc,Sensor Proc RollCall,yes
rc_adcs_sp_11,18,549,0x225,cat_health,gnd_realtime,303628837,0x12190225,8,adcs_sensorproc,Sensor Proc RollCall,yes
rc_adcs_sp_12,18,550,0x226,cat_health,gnd_realtime,303628838,0x12190226,8,adcs_sensorproc,Sensor Proc RollCall,yes
rc_adcs_sp_13,18,551,0x227,cat_health,gnd_realtime,303628839,0x12190227,8,adcs_sensorproc,Sensor Proc RollCall,yes
rc_adcs_sp_14,18,552,0x228,cat_health,gnd_realtime,303628840,0x12190228,7,adcs_sensorproc,Sensor Proc RollCall,yes
rc_adcs_sp_15,18,553,0x229,cat_health,gnd_realtime,303628841,0x12190229,7,adcs_sensorproc,Sensor Proc RollCall,yes
rc_adcs_sp_16,18,554,0x22A,cat_health,gnd_realtime,303628842,0x1219022A,8,adcs_sensorproc,Sensor Proc RollCall,yes
rc_adcs_sp_17,18,555,0x22B,cat_health,gnd_realtime,303628843,0x1219022B,4,adcs_sensorproc,Sensor Proc RollCall,yes
rc_adcs_sp_2,18,540,0x21C,cat_health,gnd_realtime,303628828,0x1219021C,8,adcs_sensorproc,Sensor Proc RollCall,yes
rc_adcs_sp_3,18,541,0x21D,cat_health,gnd_realtime,303628829,0x1219021D,8,adcs_sensorproc,Sensor Proc RollCall,yes
rc_adcs_sp_4,18,542,0x21E,cat_health,gnd_realtime,303628830,0x1219021E,8,adcs_sensorproc,Sensor Proc RollCall,yes
rc_adcs_sp_5,18,543,0x21F,cat_health,gnd_realtime,303628831,0x1219021F,8,adcs_sensorproc,Sensor Proc RollCall,yes
rc_adcs_sp_6,18,544,0x220,cat_health,gnd_realtime,303628832,0x12190220,8,adcs_sensorproc,Sensor Proc RollCall,yes
rc_adcs_sp_7,18,545,0x221,cat_health,gnd_realtime,303628833,0x12190221,8,adcs_sensorproc,DEPRECATED Sensor Proc RollCall,yes
rc_adcs_sp_8,18,546,0x222,cat_health,gnd_realtime,303628834,0x12190222,8,adcs_sensorproc,DEPRECATED Sensor Proc RollCall,yes
rc_adcs_sp_9,18,547,0x223,cat_health,gnd_realtime,303628835,0x12190223,8,adcs_sensorproc,Sensor Proc RollCall,yes
rc_adcs_sp_h1,18,608,0x260,cat_health,gnd_health,304677472,0x12290260,8,adcs_sensorproc,SP Health Rollcall 1,
rc_adcs_sp_h2,18,617,0x269,cat_health,gnd_health,304677481,0x12290269,1,adcs_sensorproc,SP Health Rollcall 2,
rc_eps_batt_1,18,512,0x200,cat_health,gnd_health,304677376,0x12290200,7,eps_batt,EPS_BATT RollCall,yes
rc_eps_batt_1,18,603,0x25B,cat_health,gnd_health,304677467,0x1229025B,6,eps_batt,BATT Rollcall,
rc_eps_batt_2,18,513,0x201,cat_health,gnd_health,304677377,0x12290201,6,eps_batt,EPS_BATT RollCall,yes
rc_eps_batt_3,18,514,0x202,cat_health,gnd_health,304677378,0x12290202,8,eps_batt,EPS_BATT RollCall,yes
rc_eps_batt_4,18,515,0x203,cat_health,gnd_health,304677379,0x12290203,7,eps_batt,EPS_BATT RollCall,yes
rc_eps_batt_5,18,516,0x204,cat_health,gnd_health,304677380,0x12290204,8,eps_batt,EPS_BATT RollCall,yes
rc_eps_batt_6,18,517,0x205,cat_health,gnd_health,304677381,0x12290205,8,eps_batt,EPS_BATT RollCall,yes
rc_eps_batt_7,18,602,0x25A,cat_health,gnd_health,304677466,0x1229025A,6,eps_batt,EPS_BATT Rollcall,
rc_eps_batt_h1,18,613,0x265,cat_health,gnd_health,304677477,0x12290265,8,eps_batt,BATT Health Rollcall 1,
rc_eps_batt_h2,18,622,0x26E,cat_health,gnd_health,304677486,0x1229026E,1,eps_batt,BATT Health Rollcall 2,
rc_eps_dist_1,18,579,0x243,cat_health,gnd_health,304677443,0x12290243,8,eps_dist,Dist Rollcall,yes
rc_eps_dist_10,18,588,0x24C,cat_health,gnd_health,304677452,0x1229024C,7,eps_dist,Dist Rollcall,yes
rc_eps_dist_11,18,589,0x24D,cat_health,gnd_health,304677453,0x1229024D,6,eps_dist,Dist Rollcall,yes
rc_eps_dist_12,18,590,0x24E,cat_health,gnd_health,304677454,0x1229024E,7,eps_dist,Dist Rollcall,yes
rc_eps_dist_13,18,591,0x24F,cat_health,gnd_health,304677455,0x1229024F,6,eps_dist,Dist Rollcall,yes
rc_eps_dist_14,18,592,0x250,cat_health,gnd_health,304677456,0x12290250,7,eps_dist,Dist Rollcall,yes
rc_eps_dist_15,18,593,0x251,cat_health,gnd_health,304677457,0x12290251,6,eps_dist,Dist Rollcall,yes
rc_eps_dist_16,18,594,0x252,cat_health,gnd_health,304677458,0x12290252,7,eps_dist,Dist Rollcall,yes
rc_eps_dist_17,18,595,0x253,cat_health,gnd_health,304677459,0x12290253,6,eps_dist,Dist Rollcall,yes
rc_eps_dist_18,18,731,0x2DB,cat_health,gnd_health,304677595,0x122902DB,8,eps_dist,Dist Rollcall,
rc_eps_dist_2,18,580,0x244,cat_health,gnd_health,304677444,0x12290244,6,eps_dist,Dist Rollcall,yes
rc_eps_dist_3,18,581,0x245,cat_health,gnd_health,304677445,0x12290245,6,eps_dist,Dist Rollcall,yes
rc_eps_dist_4,18,582,0x246,cat_health,gnd_health,304677446,0x12290246,7,eps_dist,Dist Rollcall,yes
rc_eps_dist_5,18,583,0x247,cat_health,gnd_health,304677447,0x12290247,6,eps_dist,Dist Rollcall,yes
rc_eps_dist_6,18,584,0x248,cat_health,gnd_health,304677448,0x12290248,7,eps_dist,Dist Rollcall,yes
rc_eps_dist_7,18,585,0x249,cat_health,gnd_health,304677449,0x12290249,6,eps_dist,Dist Rollcall,yes
rc_eps_dist_8,18,586,0x24A,cat_health,gnd_health,304677450,0x1229024A,7,eps_dist,Dist Rollcall,yes
rc_eps_dist_9,18,587,0x24B,cat_health,gnd_health,304677451,0x1229024B,6,eps_dist,Dist Rollcall,yes
rc_eps_dist_h1,18,611,0x263,cat_health,gnd_health,304677475,0x12290263,8,eps_dist,DIST Health Rollcall 1,
rc_eps_dist_h2,18,620,0x26C,cat_health,gnd_health,304677484,0x1229026C,1,eps_dist,DIST Health Rollcall 2,
rc_eps_gen_1,18,528,0x210,cat_health,gnd_health,304677392,0x12290210,7,eps_gen,EPS GEN RollCall,yes
rc_eps_gen_2,18,529,0x211,cat_health,gnd_health,304677393,0x12290211,8,eps_gen,EPS GEN RollCall,yes
rc_eps_gen_3,18,530,0x212,cat_health,gnd_health,304677394,0x12290212,8,eps_gen,EPS GEN RollCall,yes
rc_eps_gen_4,18,531,0x213,cat_health,gnd_health,304677395,0x12290213,8,eps_gen,EPS GEN RollCall,yes
rc_eps_gen_5,18,532,0x214,cat_health,gnd_health,304677396,0x12290214,8,eps_gen,EPS GEN RollCall,yes
rc_eps_gen_6,18,533,0x215,cat_health,gnd_health,304677397,0x12290215,8,eps_gen,EPS GEN RollCall,yes
rc_eps_gen_7,18,534,0x216,cat_health,gnd_health,304677398,0x12290216,8,eps_gen,EPS GEN RollCall,yes
rc_eps_gen_8,18,535,0x217,cat_health,gnd_health,304677399,0x12290217,7,eps_gen,EPS GEN RollCall,yes
rc_eps_gen_9,18,536,0x218,cat_health,gnd_health,304677400,0x12290218,8,eps_gen,EPS GEN RollCall,yes
rc_eps_gen_h1,18,607,0x25F,cat_health,gnd_health,304677471,0x1229025F,8,eps_gen,GEN Health Rollcall 1,
rc_eps_gen_h2,18,616,0x268,cat_health,gnd_health,304677480,0x12290268,1,eps_gen,GEN Health Rollcall 2,
rc_ppt_1,18,520,0x208,cat_health,gnd_realtime,303628808,0x12190208,7,ppt,PPT RollCall,yes
rc_ppt_2,18,521,0x209,cat_health,gnd_realtime,303628809,0x12190209,8,ppt,PPT RollCall,yes
rc_ppt_3,18,522,0x20A,cat_health,gnd_realtime,303628810,0x1219020A,7,ppt,PPT RollCall,yes
rc_ppt_h1,18,605,0x25D,cat_health,gnd_health,304677469,0x1229025D,8,ppt,PPT Health Rollcall 1,
rc_ppt_h2,18,614,0x266,cat_health,gnd_health,304677478,0x12290266,1,ppt,PPT Health Rollcall 2,
sensorproc_imu,20,66,0x042,cat_sensor,gnd_none,335872066,0x14050042,7,adcs_sensorproc,"Angular rate of the satellite in X, Y, Z directions",yes
sensorproc_mag,20,67,0x043,cat_sensor,gnd_none,335872067,0x14050043,7,adcs_sensorproc,Unit vector from both magnetometers on sensor board,yes
sensorproc_sun,20,65,0x041,cat_sensor,gnd_none,335872065,0x14050041,5,adcs_sensorproc,Angle that the sun sensor reports,yes
sync_1,0,17,0x011,cat_brd,gnd_health,2162705,0x00210011,0,ppt,Sync1 Pulse (Every 2 seconds),yes
tle_1,18,68,0x044,cat_adcs,gnd_none,302448708,0x12070044,6,,TLE Packet 1,yes
tle_2,18,69,0x045,cat_adcs,gnd_none,302448709,0x12070045,8,,TLE Packet 2,yes
tle_3,18,70,0x046,cat_adcs,gnd_none,302448710,0x12070046,8,,TLE Packet 3,yes
tle_4,18,71,0x047,cat_adcs,gnd_none,302448711,0x12070047,8,,TLE Packet 4,yes
tle_5,18,72,0x048,cat_adcs,gnd_none,302448712,0x12070048,4,,TLE Packet 5,yes
tle_6,18,73,0x049,cat_adcs,gnd_none,302448713,0x12070049,8,,TLE Packet 6,yes
